client,transcript,line,timestamp,tool,call_id,status,batched
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-finance-finance\2adad1e1-e9d5-47f5-859b-703f2dda40be.jsonl,146,2026-08-04T23:21:52.588Z,get_open_files,toolu_01LnPbpZRbUFgbT7poYRQrGp,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-finance-finance\2adad1e1-e9d5-47f5-859b-703f2dda40be.jsonl,156,2026-08-04T23:21:55.980Z,get_view_content,toolu_014ntkBUyQsdXnFModHSFn1P,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-GhostShell\06da6c76-950c-4341-8965-e8c860550366.jsonl,382,2026-08-11T03:30:07.109Z,get_open_files,toolu_01NYqpPCMo9fRfB5aoosTEaH,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-GhostShell\06da6c76-950c-4341-8965-e8c860550366.jsonl,388,2026-08-11T03:30:24.863Z,eval_python,toolu_01Em3GisQDn5JWxkyqKvRNvE,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-GhostShell\06da6c76-950c-4341-8965-e8c860550366.jsonl,398,2026-08-11T03:30:32.532Z,eval_python,toolu_016WaADm74mrTpXvTaFdstes,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-GhostShell\06da6c76-950c-4341-8965-e8c860550366.jsonl,403,2026-08-11T03:30:35.153Z,eval_python,toolu_01ArgakiVwVDwXYyfoKZ7j5G,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-GhostShell\06da6c76-950c-4341-8965-e8c860550366.jsonl,409,2026-08-11T03:30:38.402Z,eval_python,toolu_01M8vs1vBEBxFbJJRUNJc38i,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-GhostShell\06da6c76-950c-4341-8965-e8c860550366.jsonl,415,2026-08-11T03:30:46.989Z,eval_python,toolu_01U2TvfwVgDEyUiAzQrE55hJ,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-GhostShell\06da6c76-950c-4341-8965-e8c860550366.jsonl,421,2026-08-11T03:31:01.506Z,get_active_file,toolu_016UFPaLj7tTQUBApzXtp7hF,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-GhostShell\06da6c76-950c-4341-8965-e8c860550366.jsonl,431,2026-08-11T03:31:27.774Z,get_selection,toolu_01UaiZdxbBeZEuh1x2K5aW29,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-GhostShell\06da6c76-950c-4341-8965-e8c860550366.jsonl,437,2026-08-11T03:31:49.903Z,run_command,toolu_017mhrfkisxs4TJ8TLHe1627,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-GhostShell\06da6c76-950c-4341-8965-e8c860550366.jsonl,443,2026-08-11T03:31:52.155Z,eval_python,toolu_01PsK7yvYzFduArwtuxCA6Xn,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-GhostShell\06da6c76-950c-4341-8965-e8c860550366.jsonl,449,2026-08-11T03:32:03.013Z,eval_python,toolu_019fwNC1ZMSYCL23fSRE3AWG,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-GhostShell\06da6c76-950c-4341-8965-e8c860550366.jsonl,455,2026-08-11T03:32:06.368Z,get_console_log,toolu_01QXwPPWN3xfCwTcyV83VVeY,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-GhostShell\06da6c76-950c-4341-8965-e8c860550366.jsonl,477,2026-08-11T03:32:32.066Z,eval_python,toolu_012cvvNavWgX1PMadhMdVzKH,unknown,False
claude,C:\Users\donal\.claude\projects\C--Users-donal-projects-GhostShell\06da6c76-950c-4341-8965-e8c860550366.jsonl,482,2026-08-11T03:32:34.111Z,eval_python,toolu_015s4icXFPqHAPo6yTaAshNa,unknown,False
